Series code,IR01'MADR1M,FM02'STRACLUCON
2020/07,0.3,-0.028
2020/08,0.3,-0.035
2020/09,0.3,-0.054
2020/10,0.3,-0.02
2020/11,0.3,-0.032
2020/12,0.3,-0.026
2021/01,0.3,-0.017
2021/02,0.3,-0.016
2021/03,0.3,-0.017
2021/04,0.3,-0.012
2021/05,0.3,-0.017
2021/06,0.3,-0.029
2021/07,0.3,-0.036
2021/08,0.3,-0.034
2021/09,0.3,-0.022
2021/10,0.3,-0.027
2021/11,0.3,-0.04
2021/12,0.3,-0.026
2022/01,0.3,-0.02
2022/02,0.3,-0.018
2022/03,0.3,-0.008
2022/04,0.3,-0.012
2022/05,0.3,-0.018
2022/06,0.3,-0.038
2022/07,0.3,-0.012
2022/08,0.3,-0.018
2022/09,0.3,-0.049
2022/10,0.3,-0.05
2022/11,0.3,-0.067
2022/12,0.3,-0.066
2023/01,0.3,-0.02
2023/02,0.3,-0.019
2023/03,0.3,-0.017
2023/04,0.3,-0.015
2023/05,0.3,-0.051
2023/06,0.3,-0.066
2023/07,0.3,-0.046
2023/08,0.3,-0.063
2023/09,0.3,-0.054
2023/10,0.3,-0.02
2023/11,0.3,-0.015
2023/12,0.3,-0.012
2024/01,0.3,-0.014
2024/02,0.3,-0.006
2024/03,0.3,0.022
2024/04,0.3,0.077
2024/05,0.3,0.077
2024/06,0.3,0.077
2024/07,0.3,0.078
2024/08,0.5,0.227
2024/09,0.5,0.227
2024/10,0.5,0.227
2024/11,0.5,0.227
2024/12,0.5,0.227
2025/01,0.75,0.293
2025/02,0.75,0.478
2025/03,0.75,0.477
2025/04,0.75,
2025/05,,
2025/06,,
2025/07,,
2025/08,,
2025/09,,
2025/10,,
2025/11,,
2025/12,,
